nm	red-orange
380	0%
385	0%
390	0%
395	0%
400	0%
405	0%
410	0%
415	0%
420	0%
425	0%
430	0%
435	0%
440	0%
445	0%
450	0%
455	0%
460	0%
465	0%
470	0%
475	0%
480	0%
485	0%
490	0%
495	0%
500	0%
505	0%
510	0%
515	0%
520	0%
525	0%
530	0%
535	0%
540	0%
545	0%
550	0%
555	0%
560	0%
565	0%
570	0%
575	0%
577.5	0%
580	1%
582.5	1%
585	2%
587.5	2%
590	3%
592.5	4%
595	6%
597.5	7%
600	9%
602.5	12%
605	16%
607.5	20%
610	26%
612.5	35%
615	46%
617.5	58%
620	74%
622.5	89%
625	100%
627.5	95%
630	76%
632.5	47%
635	28%
637.5	18%
640	12%
642.5	8%
645	5%
647.5	4%
650	2%
652.5	1%
655	1%
657.5	0%
660	0%
665	0%
670	0%
675	0%
680	0%
685	0%
690	0%
695	0%
700	0%
705	0%
710	0%
715	0%
720	0%
725	0%
730	0%
735	0%
740	0%
745	0%
750	0%
755	0%
760	0%
765	0%
770	0%
775	0%
780	0%