nm	royal blue
380	0%
385	0%
390	0%
395	0%
400	0%
405	0%
407.5	0%
410	1%
412.5	1%
415	1%
417.5	2%
420	2%
422.5	3%
425	5%
427.5	6%
430	9%
432.5	13%
435	17%
437.5	25%
440	34%
442.5	51%
445	68%
447.5	86%
450	98%
452.5	100%
455	90%
457.5	76%
460	62%
462.5	51%
465	39%
467.5	32%
470	26%
472.5	21%
475	16%
477.5	12%
480	10%
482.5	8%
485	6%
487.5	5%
490	4%
492.5	3%
495	2%
497.5	1%
500	1%
502.5	1%
505	1%
507.5	0%
510	0%
515	0%
520	0%
525	0%
530	0%
535	0%
540	0%
545	0%
550	0%
555	0%
560	0%
565	0%
570	0%
575	0%
580	0%
585	0%
590	0%
595	0%
600	0%
605	0%
610	0%
615	0%
620	0%
625	0%
630	0%
635	0%
640	0%
645	0%
650	0%
655	0%
660	0%
665	0%
670	0%
675	0%
680	0%
685	0%
690	0%
695	0%
700	0%
705	0%
710	0%
715	0%
720	0%
725	0%
730	0%
735	0%
740	0%
745	0%
750	0%
755	0%
760	0%
765	0%
770	0%
775	0%
780	0%