nm	warm white
380	0%
385	0%
390	0%
395	0%
400	0%
405	0%
410	1%
415	2%
417.5	3%
420	5%
422.5	7%
425	9%
427.5	12%
430	16%
432.5	21%
435	26%
437.5	32%
440	41%
442.5	49%
445	55%
447.5	56%
450	52%
452.5	45%
455	38%
457.5	32%
460	28%
462.5	26%
465	24%
467.5	22%
470	20%
472.5	19%
475	18%
477.5	18%
480	18%
485	20%
490	23%
495	28%
500	33%
505	38%
510	42%
515	46%
520	50%
525	52%
530	55%
535	58%
540	61%
545	64%
550	66%
555	70%
560	73%
565	77%
570	81%
575	85%
580	89%
585	93%
590	96%
595	98%
600	100%
605	100%
610	99%
615	97%
620	93%
625	89%
630	83%
635	77%
640	71%
645	65%
650	59%
655	53%
660	47%
665	42%
670	37%
675	33%
680	28%
685	25%
690	22%
695	19%
700	16%
705	14%
710	12%
715	10%
720	9%
725	8%
730	7%
735	6%
740	5%
745	4%
750	4%
755	3%
760	3%
765	2%
770	2%
775	1%
780	1%