nm	e
390	4.13E-04
391	5.01E-04
392	6.06E-04
393	7.32E-04
394	8.81E-04
395	1.06E-03
396	1.26E-03
397	1.50E-03
398	1.78E-03
399	2.09E-03
400	2.45E-03
401	2.85E-03
402	3.30E-03
403	3.79E-03
404	4.35E-03
405	4.97E-03
406	5.66E-03
407	6.42E-03
408	7.25E-03
409	8.15E-03
410	9.09E-03
411	1.01E-02
412	1.11E-02
413	1.21E-02
414	1.32E-02
415	1.44E-02
416	1.55E-02
417	1.67E-02
418	1.80E-02
419	1.92E-02
420	2.04E-02
421	2.16E-02
422	2.28E-02
423	2.40E-02
424	2.52E-02
425	2.65E-02
426	2.78E-02
427	2.92E-02
428	3.06E-02
429	3.22E-02
430	3.38E-02
431	3.54E-02
432	3.71E-02
433	3.88E-02
434	4.06E-02
435	4.25E-02
436	4.43E-02
437	4.62E-02
438	4.80E-02
439	4.98E-02
440	5.15E-02
441	5.31E-02
442	5.47E-02
443	5.61E-02
444	5.75E-02
445	5.89E-02
446	6.04E-02
447	6.19E-02
448	6.35E-02
449	6.50E-02
450	6.65E-02
451	6.80E-02
452	6.95E-02
453	7.10E-02
454	7.27E-02
455	7.45E-02
456	7.65E-02
457	7.88E-02
458	8.14E-02
459	8.44E-02
460	8.77E-02
461	9.13E-02
462	9.54E-02
463	9.98E-02
464	1.04E-01
465	1.09E-01
466	1.14E-01
467	1.19E-01
468	1.24E-01
469	1.29E-01
470	1.34E-01
471	1.38E-01
472	1.43E-01
473	1.48E-01
474	1.53E-01
475	1.58E-01
476	1.63E-01
477	1.68E-01
478	1.73E-01
479	1.78E-01
480	1.83E-01
481	1.89E-01
482	1.95E-01
483	2.00E-01
484	2.06E-01
485	2.12E-01
486	2.17E-01
487	2.23E-01
488	2.29E-01
489	2.36E-01
490	2.43E-01
491	2.51E-01
492	2.60E-01
493	2.70E-01
494	2.80E-01
495	2.91E-01
496	3.03E-01
497	3.15E-01
498	3.28E-01
499	3.41E-01
500	3.55E-01
501	3.70E-01
502	3.85E-01
503	4.02E-01
504	4.18E-01
505	4.35E-01
506	4.53E-01
507	4.72E-01
508	4.90E-01
509	5.10E-01
510	5.29E-01
511	5.49E-01
512	5.69E-01
513	5.89E-01
514	6.09E-01
515	6.30E-01
516	6.50E-01
517	6.70E-01
518	6.90E-01
519	7.09E-01
520	7.28E-01
521	7.45E-01
522	7.61E-01
523	7.76E-01
524	7.90E-01
525	8.04E-01
526	8.17E-01
527	8.30E-01
528	8.43E-01
529	8.55E-01
530	8.66E-01
531	8.77E-01
532	8.86E-01
533	8.96E-01
534	9.05E-01
535	9.15E-01
536	9.24E-01
537	9.34E-01
538	9.43E-01
539	9.52E-01
540	9.61E-01
541	9.68E-01
542	9.74E-01
543	9.79E-01
544	9.83E-01
545	9.86E-01
546	9.88E-01
547	9.89E-01
548	9.90E-01
549	9.91E-01
550	9.92E-01
551	9.93E-01
552	9.95E-01
553	9.97E-01
554	9.99E-01
555	1.00E+00
556	1.00E+00
557	9.99E-01
558	9.98E-01
559	9.96E-01
560	9.95E-01
561	9.93E-01
562	9.91E-01
563	9.90E-01
564	9.88E-01
565	9.85E-01
566	9.82E-01
567	9.79E-01
568	9.75E-01
569	9.70E-01
570	9.65E-01
571	9.60E-01
572	9.54E-01
573	9.47E-01
574	9.40E-01
575	9.31E-01
576	9.22E-01
577	9.12E-01
578	9.02E-01
579	8.92E-01
580	8.82E-01
581	8.73E-01
582	8.65E-01
583	8.57E-01
584	8.50E-01
585	8.41E-01
586	8.32E-01
587	8.23E-01
588	8.13E-01
589	8.03E-01
590	7.92E-01
591	7.80E-01
592	7.69E-01
593	7.57E-01
594	7.45E-01
595	7.33E-01
596	7.20E-01
597	7.07E-01
598	6.95E-01
599	6.82E-01
600	6.69E-01
601	6.56E-01
602	6.43E-01
603	6.30E-01
604	6.17E-01
605	6.03E-01
606	5.90E-01
607	5.76E-01
608	5.63E-01
609	5.49E-01
610	5.35E-01
611	5.22E-01
612	5.08E-01
613	4.94E-01
614	4.81E-01
615	4.68E-01
616	4.54E-01
617	4.41E-01
618	4.28E-01
619	4.15E-01
620	4.03E-01
621	3.90E-01
622	3.78E-01
623	3.67E-01
624	3.55E-01
625	3.43E-01
626	3.30E-01
627	3.18E-01
628	3.06E-01
629	2.94E-01
630	2.82E-01
631	2.71E-01
632	2.60E-01
633	2.49E-01
634	2.39E-01
635	2.28E-01
636	2.19E-01
637	2.09E-01
638	2.00E-01
639	1.92E-01
640	1.83E-01
641	1.75E-01
642	1.68E-01
643	1.60E-01
644	1.53E-01
645	1.46E-01
646	1.39E-01
647	1.32E-01
648	1.25E-01
649	1.19E-01
650	1.12E-01
651	1.06E-01
652	1.00E-01
653	9.49E-02
654	8.95E-02
655	8.45E-02
656	7.97E-02
657	7.51E-02
658	7.07E-02
659	6.66E-02
660	6.27E-02
661	5.90E-02
662	5.55E-02
663	5.22E-02
664	4.90E-02
665	4.60E-02
666	4.32E-02
667	4.06E-02
668	3.80E-02
669	3.57E-02
670	3.34E-02
671	3.13E-02
672	2.93E-02
673	2.74E-02
674	2.57E-02
675	2.40E-02
676	2.24E-02
677	2.09E-02
678	1.95E-02
679	1.82E-02
680	1.70E-02
681	1.58E-02
682	1.47E-02
683	1.37E-02
684	1.27E-02
685	1.18E-02
686	1.10E-02
687	1.02E-02
688	9.45E-03
689	8.76E-03
690	8.13E-03
691	7.55E-03
692	7.02E-03
693	6.53E-03
694	6.08E-03
695	5.66E-03
696	5.26E-03
697	4.90E-03
698	4.55E-03
699	4.23E-03
700	3.94E-03
701	3.66E-03
702	3.40E-03
703	3.17E-03
704	2.94E-03
705	2.73E-03
706	2.54E-03
707	2.35E-03
708	2.18E-03
709	2.02E-03
710	1.87E-03
711	1.74E-03
712	1.61E-03
713	1.49E-03
714	1.38E-03
715	1.28E-03
716	1.19E-03
717	1.11E-03
718	1.03E-03
719	9.54E-04
720	8.87E-04
721	8.24E-04
722	7.65E-04
723	7.11E-04
724	6.60E-04
725	6.14E-04
726	5.71E-04
727	5.31E-04
728	4.94E-04
729	4.60E-04
730	4.28E-04
731	3.98E-04
732	3.71E-04
733	3.45E-04
734	3.21E-04
735	2.99E-04
736	2.78E-04
737	2.58E-04
738	2.40E-04
739	2.24E-04
740	2.08E-04
741	1.94E-04
742	1.81E-04
743	1.69E-04
744	1.58E-04
745	1.47E-04
746	1.37E-04
747	1.28E-04
748	1.19E-04
749	1.11E-04
750	1.04E-04
751	9.67E-05
752	9.03E-05
753	8.43E-05
754	7.87E-05
755	7.35E-05
756	6.87E-05
757	6.42E-05
758	6.00E-05
759	5.61E-05
760	5.24E-05
761	4.90E-05
762	4.58E-05
763	4.28E-05
764	4.00E-05
765	3.74E-05
766	3.50E-05
767	3.28E-05
768	3.07E-05
769	2.87E-05
770	2.69E-05
771	2.51E-05
772	2.35E-05
773	2.20E-05
774	2.06E-05
775	1.93E-05
776	1.81E-05
777	1.69E-05
778	1.59E-05
779	1.49E-05
780	1.40E-05
781	1.31E-05
782	1.23E-05
783	1.15E-05
784	1.08E-05
785	1.02E-05
786	9.53E-06
787	8.94E-06
788	8.39E-06
789	7.88E-06
790	7.40E-06
791	6.94E-06
792	6.52E-06
793	6.12E-06
794	5.74E-06
795	5.40E-06
796	5.07E-06
797	4.76E-06
798	4.48E-06
799	4.21E-06
800	3.96E-06
801	3.73E-06
802	3.51E-06
803	3.30E-06
804	3.11E-06
805	2.92E-06
806	2.75E-06
807	2.59E-06
808	2.43E-06
809	2.29E-06
810	2.15E-06
811	2.03E-06
812	1.91E-06
813	1.80E-06
814	1.69E-06
815	1.59E-06
816	1.50E-06
817	1.42E-06
818	1.34E-06
819	1.26E-06
820	1.19E-06
821	1.12E-06
822	1.06E-06
823	9.97E-07
824	9.41E-07
825	8.87E-07
826	8.37E-07
827	7.90E-07
828	7.45E-07
829	7.04E-07
830	6.64E-07