nm	roscolux 27
370	0%
375	0%
380	0%
385	0%
390	0%
395	0%
400	0%
405	0%
410	0%
415	0%
420	0%
425	0%
430	0%
435	0%
440	0%
445	0%
450	0%
455	0%
460	0%
465	0%
470	0%
475	0%
480	0%
485	0%
490	0%
495	0%
500	0%
505	0%
510	0%
515	0%
520	0%
525	0%
530	0%
535	0%
540	0%
545	0%
550	0%
555	0%
560	0%
565	0%
570	0%
575	0%
580	0%
585	0%
590	0%
595	1%
600	2%
605	4%
610	6%
615	8%
620	11%
625	16%
630	21%
635	27%
640	33%
645	39%
650	46%
655	52%
660	59%
665	64%
670	68%
675	72%
680	75%
685	78%
690	80%
695	81%
700	82%
705	83%
710	84%
715	85%
720	85%
725	85%
730	85%
735	85%
740	85%